date,sales
01/12/2023,3443.07
1/29/2023,8324.71
01/10/2023,3309.55
01/05/2023,1338.6
01/10/2023,331.29
1/25/2023,6607.27
1/20/2023,9908.56
01/09/2023,7049.92
01/10/2023,5037.56
01/01/2023,9103.22
1/28/2023,3916.53
01/08/2023,5821.09
1/23/2023,3561.96
1/13/2023,908.17
1/27/2023,2086.04
01/10/2023,4939.72
1/25/2023,2273.13
1/13/2023,3686.99
01/06/2023,479.47
1/16/2023,9878.97
1/27/2023,2493.48
1/13/2023,4416.25
01/09/2023,752.19
1/22/2023,7360.08
01/06/2023,8515.03
1/26/2023,3778.39
1/28/2023,1172.69
01/05/2023,5903.03
01/01/2023,8913.5
1/29/2023,2492.53
1/28/2023,1611.03
1/14/2023,5804.95
01/06/2023,9373.47
1/23/2023,6471.81
1/13/2023,5471.43
1/30/2023,5960.63
1/28/2023,8543.38
01/03/2023,8937.22
1/25/2023,8806.02
01/10/2023,9169.28
1/22/2023,400.52
1/14/2023,297.93
1/14/2023,7865.87
01/06/2023,4749.71
1/14/2023,9314.58
01/01/2023,5051.62
1/26/2023,9576.81
01/06/2023,4290.24
1/26/2023,2043.64
01/08/2023,5393.42
01/12/2023,3303.84
01/05/2023,1413.09
1/17/2023,3462.43
1/22/2023,8673.42
01/03/2023,2910.56
1/26/2023,9151.16
01/10/2023,3583.44
01/02/2023,3042.56
01/06/2023,7911.82
01/05/2023,4791.84
1/21/2023,2096
01/03/2023,5661.71
1/24/2023,4246.63
1/14/2023,4568.35
01/12/2023,688.32
01/12/2023,3644.05
1/13/2023,3176.16
01/05/2023,5193.33
1/16/2023,1525.7
01/02/2023,2763.57
1/19/2023,7369.2
01/10/2023,4566.88
1/23/2023,8986.36
1/15/2023,6062.57
1/29/2023,9379.98
1/19/2023,8097.21
1/28/2023,1977.18
1/24/2023,5820.88
1/22/2023,2608.57
01/04/2023,720.11
01/09/2023,4325.13
1/25/2023,1964.43
01/10/2023,5201.82
1/13/2023,4787.32
1/30/2023,2090.82
1/25/2023,1462.36
1/30/2023,6282.7
1/27/2023,4479.64
01/12/2023,5643.56
1/29/2023,9799.09
1/24/2023,3075.27
01/08/2023,5319.87
1/15/2023,1663.36
1/23/2023,2318.29
1/29/2023,3887.05
1/17/2023,8542.11
01/03/2023,5992.62
1/22/2023,2842.07
01/02/2023,2979.06
01/01/2023,5078.57
1/13/2023,4477.72
1/24/2023,1765.58
01/05/2023,8781.24
01/11/2023,5885.98
1/21/2023,4972.17
1/25/2023,6191.45
1/26/2023,544.56
1/30/2023,2870.75
01/04/2023,5786.22
1/18/2023,6553.96
1/14/2023,9015.36
01/11/2023,1724.52
1/28/2023,1083.31
01/01/2023,2337.97
01/08/2023,9040.02
1/15/2023,2678.02
01/08/2023,1290.04
1/18/2023,1863.85
01/06/2023,2822.75
01/12/2023,8224.19
01/08/2023,4874.13
01/06/2023,7169.67
1/18/2023,9324.44
1/18/2023,4855.19
1/21/2023,2684.57
1/14/2023,2849.47
01/10/2023,1310.51
01/06/2023,6700.6
1/24/2023,2157.48
1/20/2023,9576.7
1/25/2023,5412.83
1/23/2023,7868.3
01/05/2023,5829.1
01/11/2023,1762.78
1/19/2023,4254.23
1/20/2023,9777.67
01/09/2023,8366.8
01/12/2023,5041.51
1/28/2023,7169.18
1/15/2023,4472.97
1/26/2023,4508.29
01/10/2023,3982.63
01/10/2023,1144.55
01/02/2023,2295.8
1/22/2023,9185.67
01/01/2023,5712.89
1/19/2023,1075.19
01/12/2023,2989.59
01/09/2023,5259.52
01/03/2023,1187.76
01/10/2023,4310.95
1/21/2023,1874.29
01/11/2023,9694.07
1/28/2023,9366.44
1/13/2023,8963.12
1/13/2023,1399.5
01/08/2023,5474.24
01/06/2023,1958
1/27/2023,2707.88
01/11/2023,3030.35
1/20/2023,5929.31
1/24/2023,2215.22
1/22/2023,8348.84
1/24/2023,5118.39
1/29/2023,7694.8
1/15/2023,7850.82
1/20/2023,9867.75
1/27/2023,3997.72
1/27/2023,528
1/17/2023,9131.74
1/19/2023,8550.98
1/22/2023,9106.65
1/22/2023,6015.06
1/15/2023,7625.24
01/09/2023,9837.61
01/04/2023,6576.35
1/17/2023,3830.57
1/19/2023,3357.35
1/18/2023,3632.21
1/23/2023,1184.11
1/21/2023,260.61
1/22/2023,3005.17
1/15/2023,2779.81
01/08/2023,5159.32
01/08/2023,5784.38
1/20/2023,2703.68
1/14/2023,239.88
01/01/2023,1983.85
01/03/2023,2169.9
1/18/2023,9100.54
1/26/2023,7750.35
01/10/2023,6192.12
1/29/2023,6234.17
1/30/2023,6436.5
01/11/2023,437.57
1/28/2023,9979.64
01/12/2023,8433.79
1/16/2023,2190.84
01/04/2023,7575.13
1/29/2023,6571.23
1/27/2023,6730.2
1/26/2023,9551.14
01/11/2023,5943.71
01/05/2023,9963.98
1/21/2023,5964.38
